CMIF Intake,Company Name,Project Name,Approved Funding Amount ($)
1,Frontier Lithium Inc.,Critical Mineral Concentrate Optimization Process and Recovery,500000
1,Vale Canada Limited,Production of battery minerals (Ni and Co) from Valeís pyrrhotite tailings,500000
1,Ring of Fire Metals Pty Ltd. ,Eagleís Nest Underground Tailings Storage,500000
1,Canada Nickel Company Inc. ,Direct from Mine to EV in Canada ñ Low Carbon Nickel Matte Production,327346
1,Veracio Canada Ltd.,High-Speed High-Efficiency Exploration Drilling System Development & Commercialization,250000
1,Carbonix Inc.,High Energy Density Graphites,475000
1,EV Nickel Inc.,Clean-Nickel Bioleaching and Carbon Capture,500000
1,Li-Cycle Corp.,Sodium Sulfate Salt Splitting in Hydrometallurgical Lithium-ion Battery Recycling ,320750
1,SPC Nickel Corp.,SPC Nickel Corp. - West Graham/Crean Hill 3 Sensor Based Ore Sorting Study,75770
1,Destiny Copper Inc.,Cleantech copper extraction,250000
1,Li-Metal Corp.,Development of Lithium Metal Production Process,500000
1,The Bucket Shop Inc. ,"Mining Bucket Redesign, Testing and AI-Based Engineering for Light-weighting",500000
2,Vale Canada Ltd. ,Next Generation Carbonyl Refinery Technology,500000
2,Glencore Canada Inc. ,Lithium Recovery - R&D for Demonstration Plant,500000
2,Albany Graphite Corp. ,Albany Graphite Purification and Anode Material Development Project,500000
2,Rain Carbon Canada Inc.,Strengthening Ontarioís Battery Supply Value Chain through Advanced Graphite Coating Process,492500
2,Carbonix Inc. ,Engineering analysis and High Energy Density Graphite Performance Benchmarking,500000
2,EV Nickel Inc. ,EV Nickel Clean- Critical Minerals Bioleaching - Mineralization Project,223552
2,Electrovaya Corp. ,Scale up Processing for Critical Solid-State Battery Material; Doped Lithium Lanthanum Zirconium Oxide,500000
2,Lonmin Canada Inc.,Enhancing Precious Metal Recoveries from Sudbury Footwall and Contact ore bodies,500000
2,Fox River Resources Corporation,Martison Phosphate Project conversion of merchant grade phosphoric acid to purified phosphoric acid,218500
2,Overburden Drilling Management Ltd.,Automated Critical Minerals Identification,108000
2,Avalon Advanced Materials Inc. ,Analcime Recovery and Utilization Project,500000
2,Rock Tech Lithium Inc.,Rock Tech Spodumene Sorting Testing,388074
2,Generation PGM Inc.,Advanced Flotation Cells for Copper and PGM Recovery,490084
2,Wyloo Ring of Fire Ltd.,Nickel Sulfate Processing Facility Assessment,500000
2,Ucore Rare Metals Inc.,RapidSXô Demo Plant - Commercial Prototype Demonstration and Continuous Improvement Assessment,500000
2,NetZero Metals Inc.,"Low Carbon, Low Cost Nickel Processing Capacity in Timmins using Ontario Biochar",495740
2,FNX Mining Company ,Waste Rock Main Input for Paste Fill Project,407925